NumMutant,MutatorType,MutantSourceFile,MutantSourceRow,MutantSourceCol,MutantSource,MutantDestinationFile,MutantDestinationRow,MutantDestinationCol,MutantDestination,Result,file,mutation_score
0.0,RC-if->false,program3/shuffled-09,80.0,2.0,"(if (BoolV? cond-result) (if (BoolV-b cond-result) (interp then env) (interp else env)) (error (quote ZNQR) \""if test statement is not boolean ~e\"" cond))",mutation-tester,90.0,10.0,"(if #f (if (BoolV-b cond-result) (interp then env) (interp else env)) (error (quote ZNQR) \""if test statement is not boolean ~e\"" cond))",failed,program3/shuffled-09.rkt,0.811475
1.0,RC-if->true,program3/shuffled-09,80.0,2.0,"(if (BoolV? cond-result) (if (BoolV-b cond-result) (interp then env) (interp else env)) (error (quote ZNQR) \""if test statement is not boolean ~e\"" cond))",mutation-tester,93.0,10.0,"(if #t (if (BoolV-b cond-result) (interp then env) (interp else env)) (error (quote ZNQR) \""if test statement is not boolean ~e\"" cond))",failed,program3/shuffled-09.rkt,0.811475
2.0,RC-if->false,program3/shuffled-09,81.0,6.0,(if (BoolV-b cond-result) (interp then env) (interp else env)),mutation-tester,90.0,10.0,(if #f (interp then env) (interp else env)),failed,program3/shuffled-09.rkt,0.811475
3.0,RC-if->true,program3/shuffled-09,81.0,6.0,(if (BoolV-b cond-result) (interp then env) (interp else env)),mutation-tester,93.0,10.0,(if #t (interp then env) (interp else env)),failed,program3/shuffled-09.rkt,0.811475
4.0,RC-if->false,program3/shuffled-09,100.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot add ~e\"" args))",mutation-tester,90.0,10.0,"(if #f (NumV (+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot add ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
5.0,RC-if->true,program3/shuffled-09,100.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot add ~e\"" args))",mutation-tester,93.0,10.0,"(if #t (NumV (+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot add ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
6.0,RC-and->false,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and #f (NumV? (first args)) (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
7.0,RC-and->false,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) #f (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
8.0,RC-and->false,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) (NumV? (first args)) #f),failed,program3/shuffled-09.rkt,0.811475
9.0,RC-and->true,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and #t (NumV? (first args)) (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
10.0,RC-and->true,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) #t (NumV? (last args))),passed,program3/shuffled-09.rkt,0.811475
11.0,RC-and->true,program3/shuffled-09,100.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) (NumV? (first args)) #t),passed,program3/shuffled-09.rkt,0.811475
12.0,aod-add,program3/shuffled-09,101.0,18.0,(+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV))),mutation-tester,53.0,10.0,(begin NumV-n (cast (first args) NumV)),failed,program3/shuffled-09.rkt,0.811475
13.0,aod-add,program3/shuffled-09,101.0,18.0,(+ (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV))),mutation-tester,53.0,10.0,(begin NumV-n (cast (last args) NumV)),failed,program3/shuffled-09.rkt,0.811475
14.0,RC-if->false,program3/shuffled-09,107.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot subtract ~e\"" args))",mutation-tester,90.0,10.0,"(if #f (NumV (- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot subtract ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
15.0,RC-if->true,program3/shuffled-09,107.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot subtract ~e\"" args))",mutation-tester,93.0,10.0,"(if #t (NumV (- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot subtract ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
16.0,RC-and->false,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and #f (NumV? (first args)) (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
17.0,RC-and->false,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) #f (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
18.0,RC-and->false,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) (NumV? (first args)) #f),failed,program3/shuffled-09.rkt,0.811475
19.0,RC-and->true,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and #t (NumV? (first args)) (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
20.0,RC-and->true,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) #t (NumV? (last args))),passed,program3/shuffled-09.rkt,0.811475
21.0,RC-and->true,program3/shuffled-09,107.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) (NumV? (first args)) #t),passed,program3/shuffled-09.rkt,0.811475
22.0,aod-minus,program3/shuffled-09,108.0,18.0,(- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV))),mutation-tester,57.0,10.0,(begin NumV-n (cast (first args) NumV)),failed,program3/shuffled-09.rkt,0.811475
23.0,aod-minus,program3/shuffled-09,108.0,18.0,(- (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV))),mutation-tester,57.0,10.0,(begin NumV-n (cast (last args) NumV)),failed,program3/shuffled-09.rkt,0.811475
24.0,RC-if->false,program3/shuffled-09,114.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (* (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot multiply ~e\"" args))",mutation-tester,90.0,10.0,"(if #f (NumV (* (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot multiply ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
25.0,RC-if->true,program3/shuffled-09,114.0,2.0,"(if (and (= (length args) 2) (NumV? (first args)) (NumV? (last args))) (NumV (* (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot multiply ~e\"" args))",mutation-tester,93.0,10.0,"(if #t (NumV (* (NumV-n (cast (first args) NumV)) (NumV-n (cast (last args) NumV)))) (error (quote ZNQR) \""cannot multiply ~e\"" args))",failed,program3/shuffled-09.rkt,0.811475
26.0,RC-and->false,program3/shuffled-09,114.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and #f (NumV? (first args)) (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
27.0,RC-and->false,program3/shuffled-09,114.0,6.0,(and (= (length args) 2) (NumV? (first args)) (NumV? (last args))),program3/shuffled-09,,,(and (= (length args) 2) #f (NumV? (last args))),failed,program3/shuffled-09.rkt,0.811475
